par,senal,orden,entrada,stop,objetivo,riesgo_pips,rr,coste_pct
GBPUSD,2026-05-23 00:00:00,VENTA,1.34288,1.34627,1.33907,33.9,1.12,4.7
EURUSD,2026-05-23 00:00:00,VENTA,1.16057,1.16183,1.15686,12.6,2.94,11.3
EURUSD,2026-05-26 00:00:00,VENTA,1.16356,1.16527,1.16041,17.1,1.84,8.4
GBPUSD,2026-05-26 00:00:00,VENTA,1.34954,1.35089,1.34423,13.5,3.93,11.9
EURUSD,2026-05-27 00:00:00,COMPRA,1.16362,1.16163,1.1668,19.9,1.6,7.2
EURUSD,2026-05-27 12:00:00,VENTA,1.16375,1.16492,1.16022,11.7,3.01,12.2
USDJPY,2026-05-27 12:00:00,COMPRA,159.431,159.175,159.722,25.6,1.14,5.9
GBPUSD,2026-05-27 12:00:00,COMPRA,1.34347,1.34301,1.34954,4.6,13.21,34.8
EURUSD,2026-05-28 00:00:00,VENTA,1.16174,1.16614,1.15925,44.0,0.57,3.3
EURUSD,2026-05-28 12:00:00,COMPRA,1.16169,1.15861,1.16853,30.8,2.22,4.6
USDJPY,2026-05-28 12:00:00,VENTA,159.463,159.651,158.964,18.8,2.66,8.0
EURUSD,2026-05-30 00:00:00,VENTA,1.16546,1.16857,1.16073,31.1,1.52,4.6
GBPUSD,2026-05-30 00:00:00,VENTA,1.34451,1.34852,1.33818,40.1,1.58,4.0
USDJPY,2026-05-30 00:00:00,COMPRA,159.249,159.095,159.516,15.4,1.73,9.7
GBPUSD,2026-06-02 00:00:00,COMPRA,1.34594,1.34065,1.35054,52.9,0.87,3.0
EURUSD,2026-06-02 12:00:00,VENTA,1.16492,1.16527,1.15835,3.5,18.77,40.9
GBPUSD,2026-06-03 00:00:00,COMPRA,1.34524,1.34501,1.34987,2.3,20.15,69.6
EURUSD,2026-06-03 00:00:00,VENTA,1.16211,1.16555,1.15845,34.4,1.06,4.2
USDJPY,2026-06-03 12:00:00,COMPRA,159.837,159.365,160.23,47.2,0.83,3.2
EURUSD,2026-06-03 12:00:00,COMPRA,1.16177,1.16051,1.16808,12.6,5.01,11.3
USDJPY,2026-06-04 00:00:00,VENTA,159.948,160.091,159.003,14.3,6.61,10.5
EURUSD,2026-06-04 00:00:00,COMPRA,1.16088,1.15945,1.16514,14.3,2.98,10.0
GBPUSD,2026-06-04 12:00:00,COMPRA,1.34585,1.34112,1.35179,47.3,1.26,3.4
EURUSD,2026-06-05 00:00:00,VENTA,1.16122,1.16451,1.15423,32.9,2.12,4.3
GBPUSD,2026-06-05 00:00:00,VENTA,1.34223,1.34624,1.33458,40.1,1.91,4.0
GBPUSD,2026-06-05 12:00:00,COMPRA,1.34679,1.34156,1.3536,52.3,1.3,3.1
USDJPY,2026-06-06 00:00:00,COMPRA,160.163,159.726,160.427,43.7,0.6,3.4
EURUSD,2026-06-08 12:00:00,COMPRA,1.15364,1.14999,1.17236,36.5,5.13,3.9
USDJPY,2026-06-08 12:00:00,VENTA,159.969,160.392,159.05,42.3,2.17,3.5
GBPUSD,2026-06-08 12:00:00,COMPRA,1.33594,1.33058,1.35682,53.6,3.9,3.0
EURUSD,2026-06-09 00:00:00,VENTA,1.15279,1.15545,1.14621,26.6,2.48,5.4
EURUSD,2026-06-09 12:00:00,COMPRA,1.15725,1.15269,1.16128,45.6,0.88,3.1
USDJPY,2026-06-09 12:00:00,VENTA,160.158,160.278,159.63,12.0,4.4,12.5
GBPUSD,2026-06-09 12:00:00,COMPRA,1.34024,1.33305,1.34545,71.9,0.72,2.2
GBPUSD,2026-06-10 00:00:00,VENTA,1.33711,1.34107,1.32579,39.6,2.86,4.0
EURUSD,2026-06-10 00:00:00,VENTA,1.1535,1.1578,1.14642,43.0,1.65,3.3
EURUSD,2026-06-11 00:00:00,VENTA,1.15352,1.15731,1.14956,37.9,1.04,3.8
GBPUSD,2026-06-11 00:00:00,VENTA,1.33612,1.34231,1.3314,61.9,0.76,2.6
EURUSD,2026-06-11 12:00:00,COMPRA,1.15382,1.1523,1.16096,15.2,4.7,9.4
USDJPY,2026-06-11 12:00:00,VENTA,160.535,160.587,160.163,5.2,7.15,28.8
GBPUSD,2026-06-12 00:00:00,COMPRA,1.34139,1.33243,1.3473,89.6,0.66,1.8
USDJPY,2026-06-12 00:00:00,VENTA,160.135,160.594,159.892,45.9,0.53,3.3
EURUSD,2026-06-12 00:00:00,COMPRA,1.15754,1.15028,1.16249,72.6,0.68,2.0
USDJPY,2026-06-15 12:00:00,COMPRA,160.185,159.882,160.455,30.3,0.89,5.0
GBPUSD,2026-06-15 12:00:00,VENTA,1.3423,1.34607,1.33712,37.7,1.37,4.2
GBPUSD,2026-06-16 12:00:00,COMPRA,1.34149,1.33903,1.3475,24.6,2.45,6.5
EURUSD,2026-06-16 12:00:00,COMPRA,1.15989,1.15748,1.16542,24.1,2.3,5.9
GBPUSD,2026-06-17 00:00:00,VENTA,1.34249,1.34429,1.33634,18.0,3.42,8.9
EURUSD,2026-06-17 00:00:00,VENTA,1.16096,1.16196,1.15525,10.0,5.71,14.3
EURUSD,2026-06-17 12:00:00,COMPRA,1.15914,1.15853,1.16391,6.1,7.82,23.4
USDJPY,2026-06-17 12:00:00,COMPRA,160.31,160.116,160.568,19.4,1.33,7.7
GBPUSD,2026-06-17 12:00:00,COMPRA,1.34046,1.33992,1.34649,5.4,11.17,29.6
EURUSD,2026-06-19 00:00:00,COMPRA,1.14582,1.14512,1.15693,7.0,15.88,20.4
EURUSD,2026-06-19 12:00:00,COMPRA,1.1461,1.14178,1.15154,43.2,1.26,3.3
GBPUSD,2026-06-19 12:00:00,COMPRA,1.32288,1.31627,1.33197,66.1,1.38,2.4
GBPUSD,2026-06-22 12:00:00,VENTA,1.32353,1.32475,1.31962,12.2,3.21,13.1
USDJPY,2026-06-23 00:00:00,VENTA,161.576,161.926,161.022,35.0,1.58,4.3
GBPUSD,2026-06-23 00:00:00,VENTA,1.32464,1.32729,1.31501,26.5,3.63,6.0
USDJPY,2026-06-25 00:00:00,VENTA,161.769,161.84,161.398,7.1,5.22,21.1
GBPUSD,2026-06-25 00:00:00,COMPRA,1.31639,1.31398,1.32548,24.1,3.77,6.6
EURUSD,2026-06-25 00:00:00,COMPRA,1.13539,1.13245,1.14215,29.4,2.3,4.9
EURUSD,2026-06-25 12:00:00,VENTA,1.13374,1.1374,1.12723,36.6,1.78,3.9
USDJPY,2026-06-25 12:00:00,COMPRA,161.866,161.555,162.175,31.1,0.99,4.8
GBPUSD,2026-06-25 12:00:00,VENTA,1.31548,1.31972,1.30964,42.4,1.38,3.8
GBPUSD,2026-06-26 00:00:00,VENTA,1.3187,1.32189,1.31176,31.9,2.18,5.0
EURUSD,2026-06-26 00:00:00,VENTA,1.13612,1.13879,1.13002,26.7,2.29,5.4
GBPUSD,2026-06-26 12:00:00,VENTA,1.32163,1.32282,1.31184,11.9,8.23,13.4
USDJPY,2026-06-26 12:00:00,COMPRA,161.662,161.531,162.177,13.1,3.93,11.5
GBPUSD,2026-06-27 00:00:00,VENTA,1.31894,1.32317,1.31171,42.3,1.71,3.8
EURUSD,2026-06-27 00:00:00,VENTA,1.13827,1.14338,1.12957,51.1,1.7,2.8
GBPUSD,2026-06-29 12:00:00,VENTA,1.32311,1.32343,1.31677,3.2,19.83,50.0
GBPUSD,2026-07-01 00:00:00,VENTA,1.32496,1.32764,1.31904,26.8,2.21,6.0
EURUSD,2026-07-01 00:00:00,VENTA,1.14129,1.14366,1.13562,23.7,2.39,6.0
GBPUSD,2026-07-02 00:00:00,COMPRA,1.3278,1.32189,1.332,59.1,0.71,2.7
EURUSD,2026-07-02 12:00:00,VENTA,1.14039,1.1421,1.13287,17.1,4.39,8.4
GBPUSD,2026-07-03 00:00:00,VENTA,1.33378,1.33844,1.32051,46.6,2.85,3.4
USDJPY,2026-07-03 00:00:00,COMPRA,161.455,160.63,164.002,82.5,3.09,1.8
USDJPY,2026-07-03 12:00:00,COMPRA,161.118,160.479,162.636,63.9,2.38,2.3
EURUSD,2026-07-07 00:00:00,COMPRA,1.14414,1.14083,1.14885,33.1,1.42,4.3
USDJPY,2026-07-07 00:00:00,VENTA,162.094,162.425,160.663,33.1,4.32,4.5
GBPUSD,2026-07-07 12:00:00,VENTA,1.33878,1.34014,1.3292,13.6,7.05,11.8
USDJPY,2026-07-09 00:00:00,VENTA,162.54,162.708,161.817,16.8,4.3,8.9
EURUSD,2026-07-09 00:00:00,COMPRA,1.14212,1.1391,1.1479,30.2,1.91,4.7
GBPUSD,2026-07-09 12:00:00,VENTA,1.33882,1.34306,1.32746,42.4,2.68,3.8
USDJPY,2026-07-09 12:00:00,COMPRA,162.473,162.247,162.908,22.6,1.92,6.6
EURUSD,2026-07-09 12:00:00,VENTA,1.14294,1.14491,1.13705,19.7,2.99,7.3
GBPUSD,2026-07-10 00:00:00,COMPRA,1.34132,1.33805,1.34828,32.7,2.13,4.9
EURUSD,2026-07-10 12:00:00,VENTA,1.14309,1.14606,1.13959,29.7,1.18,4.8
USDJPY,2026-07-11 00:00:00,COMPRA,161.659,161.281,163.366,37.8,4.52,4.0
GBPUSD,2026-07-13 12:00:00,COMPRA,1.33932,1.33664,1.34605,26.8,2.51,6.0
EURUSD,2026-07-13 12:00:00,VENTA,1.14275,1.14457,1.13819,18.2,2.51,7.9
USDJPY,2026-07-14 12:00:00,COMPRA,162.197,162.052,162.814,14.5,4.25,10.3
USDJPY,2026-07-15 00:00:00,COMPRA,162.193,161.601,162.817,59.2,1.05,2.5
EURUSD,2026-07-16 00:00:00,COMPRA,1.14698,1.14059,1.15204,63.9,0.79,2.2
USDJPY,2026-07-16 00:00:00,COMPRA,162.074,161.893,162.758,18.1,3.78,8.3
USDJPY,2026-07-17 12:00:00,COMPRA,162.361,162.12,162.95,24.1,2.45,6.2
USDJPY,2026-07-18 00:00:00,VENTA,162.341,162.519,161.812,17.8,2.97,8.4
EURUSD,2026-07-20 12:00:00,VENTA,1.14294,1.14495,1.13995,20.1,1.49,7.1
USDJPY,2026-07-20 12:00:00,VENTA,162.346,162.536,162.018,19.0,1.73,7.9
USDJPY,2026-07-21 00:00:00,VENTA,162.485,162.597,161.974,11.2,4.57,13.4
USDJPY,2026-07-22 12:00:00,COMPRA,163.073,162.674,163.891,39.9,2.05,3.8
GBPUSD,2026-07-23 00:00:00,COMPRA,1.33745,1.33543,1.3422,20.2,2.35,7.9
EURUSD,2026-07-23 00:00:00,VENTA,1.14113,1.14215,1.13821,10.2,2.87,14.0
USDJPY,2026-07-23 12:00:00,COMPRA,163.489,162.994,163.735,49.5,0.5,3.0
GBPUSD,2026-07-23 12:00:00,VENTA,1.33553,1.33929,1.3301,37.6,1.44,4.3
EURUSD,2026-07-23 12:00:00,VENTA,1.13946,1.14356,1.1368,41.0,0.65,3.5
EURUSD,2026-07-24 12:00:00,VENTA,1.13747,1.14011,1.1327,26.4,1.81,5.4
GBPUSD,2026-07-25 00:00:00,VENTA,1.33206,1.3349,1.32639,28.4,2.0,5.6
USDJPY,2026-07-25 00:00:00,COMPRA,163.793,163.643,164.221,15.0,2.85,10.0
EURUSD,2026-07-27 12:00:00,VENTA,1.13863,1.14181,1.13473,31.8,1.23,4.5
GBPUSD,2026-07-27 12:00:00,VENTA,1.33137,1.33633,1.32483,49.6,1.32,3.2
USDJPY,2026-07-27 12:00:00,COMPRA,163.647,163.329,164.001,31.8,1.11,4.7
GBPUSD,2026-07-29 00:00:00,VENTA,1.32865,1.3311,1.32391,24.5,1.93,6.5
USDJPY,2026-07-29 00:00:00,COMPRA,163.867,163.644,164.285,22.3,1.88,6.7
USDJPY,2026-07-29 12:00:00,COMPRA,163.646,163.277,164.079,36.9,1.17,4.1
GBPUSD,2026-07-30 00:00:00,COMPRA,1.33663,1.32785,1.34072,87.8,0.47,1.8
EURUSD,2026-07-30 00:00:00,COMPRA,1.14667,1.13744,1.1502,92.3,0.38,1.5
USDJPY,2026-07-30 00:00:00,VENTA,163.307,163.905,162.401,59.8,1.52,2.5
